Question,a,b,c,d,year,pdf,number,type,section num,answer
"The line models the relationship between body weight and foot length for a group of infants. Based on the model, what is the predicted weight, in kilograms (kg), of an infant with a foot length of 9 centimeters (cm)?",5,7,9,11,2022,October 2022 SAT QAS,1,MCQ,3,B
"Line segment AC has a length of 120 and contains point B. If AB = 5x + 20 and BC = 6x ? 10, which equation shows the relationship between the lengths of line segments AB , BC , and AC ?",5x + 20 = 120,6x ? 10 = 120,(5x + 20) ? (6x ? 10) = 120,(5x + 20) + (6x ? 10) = 120,2022,October 2022 SAT QAS,2,MCQ,3,D
"x = 4. y = x/4 +2 . What is the solution (x,y) to the given system of equations?","(4,6)","(4,3)","(4,2)","(4,1)",2022,October 2022 SAT QAS,3,MCQ,3,B
skipped,,,,,2022,October 2022 SAT QAS,4,MCQ,3,A
skipped,,,,,2022,October 2022 SAT QAS,5,MCQ,3,A
"The function q is defined by q(x) = 5(?1)x , where x is an integer. What is the value of q(6) ?",-30,-5,5,30,2022,October 2022 SAT QAS,6,MCQ,3,C
((x-4)(x+2))/(x-4) = 0 . Which value is a solution to the given equation?,4,2,0,-2,2022,October 2022 SAT QAS,7,MCQ,3,D
skipped,,,,,2022,October 2022 SAT QAS,8,MCQ,3,C
skipped,,,,,2022,October 2022 SAT QAS,9,MCQ,3,D
skipped,,,,,2022,October 2022 SAT QAS,10,MCQ,3,B
"p = 2/n + 3 . The given equation relates the numbers p and n, where n is not equal to 0 and p > 3 . Which equation correctly expresses n in terms of p?",n = p/2 - 3,n = p/2 + 3,n = 2/(p-3),n = -2/(p+3),2022,October 2022 SAT QAS,11,MCQ,3,C
"y - 3x + 5. y = px + 8. In the given system of equations, p is a constant. The system has no solution. What is the value of p?",-3,-0.333333333,0.333333333,3,2022,October 2022 SAT QAS,12,MCQ,3,D
"Suppose sqroot() calculates the squareroot of a number. Consider sqroot(x) (sqroot(x) + sqroot(y)) . Which of the following expressions is equal to the given expression, where x ? 0 and y ? 0 ?",x + sqroot(x) sqroot(y),x + sqroot(x + y),sqroot( x^2 + x y),sqroot( x^2 + x + y),2022,October 2022 SAT QAS,13,MCQ,3,A
"Joe was asked to memorize a list of 200 vocabulary words, and he was assessed on his memorization of the words over 3 days. On day 1, he remembered all 200 words. On each of the next two days, Joe remembered 10% fewer words than he did the preceding day. How many words did Joe remember on day 3 ?",160,162,172,180,2022,October 2022 SAT QAS,14,MCQ,3,B
"x^2 + y^2 - 16x - 4y + 32 = 0 . In the xy-plane, the graph of the given equation is a circle. What is the length of the radius of this circle?",2,6,8,36,2022,October 2022 SAT QAS,15,MCQ,3,B
|2x| = 64. What positive value of x satisfies the given equation?,,,,,2022,October 2022 SAT QAS,16,answer,3,32
The equation of line k is y = 7x + 2 . What is the slope of a line that is parallel to line k in the xy-plane?,,,,,2022,October 2022 SAT QAS,17,answer,3,7
"If 2p/3 + 4 = 10, what is the value of 3p ?",,,,,2022,October 2022 SAT QAS,18,answer,3,27
"Consider (x^3 ? 6x + 5)(3x^2 + x) . If the given expression is rewritten in the form ax^5 + bx^4 + cx^3 + dx^2 + ex , where a, b, c, d, and e are constants, what is the value of d ?",,,,,2022,October 2022 SAT QAS,19,answer,3,9
skipped,,,,,2022,October 2022 SAT QAS,20,answer,3,
The function f is defined by f(x) = 17x + 13. What is the value of f(8) ?,38,121,136,149,2022,October 2022 SAT QAS,1,MCQ,4,D
